States/UTs,Less than 18 - Male,Less than 18 - Female,18-25 - Male,18-25 - Female,25-35 - Male,25-35 - Female,35-45 - Male,35-45 - Female,45-60 - Male,45-60 - Female,60 and Above - Male,60 and Above - Female
Andhra Pradesh,304,110,1203,137,1741,220,1600,238,1472,251,599,185
Arunachal Pradesh,9,3,31,4,32,6,18,1,6,0,0,0
Assam,217,51,758,104,732,96,547,43,188,20,23,4
Bihar,472,139,1318,163,1250,162,970,119,662,107,166,26
Chhattisgarh,203,44,930,101,1057,89,933,116,454,71,97,41
Goa,7,3,49,5,72,10,68,8,66,6,31,3
Gujarat,304,110,1155,204,1948,299,1476,266,1030,208,218,71
Haryana,275,70,990,147,1230,188,910,109,515,85,560,41
Himachal Pradesh,73,29,210,15,279,32,194,29,177,43,95,27
Jammu & Kashmir,26,5,273,58,393,64,91,6,9,1,0,0
Jharkhand,69,2,870,10,669,12,629,10,687,10,278,10
Karnataka,361,103,2204,266,2601,334,2336,333,1341,290,364,76
Kerala,176,55,544,113,561,102,673,104,755,164,712,172
Madhya Pradesh,806,156,2032,257,2671,343,1875,295,1021,161,452,108
Maharashtra,334,102,2660,325,3109,398,2521,343,1594,185,499,122
Manipur,1,0,25,2,46,5,27,1,17,7,5,0
Meghalaya,0,0,27,13,52,12,43,10,17,3,5,0
Mizoram,10,4,14,7,5,4,7,5,1,1,1,1
Nagaland,0,0,2,0,28,0,11,0,0,0,0,0
Orissa,132,41,1011,134,1271,192,1024,151,588,88,131,27
Punjab,176,46,832,130,1166,148,972,116,626,84,151,16
Rajasthan,378,98,2809,303,2705,403,2021,288,1055,152,201,31
Sikkim,6,3,16,7,18,4,11,1,7,1,4,0
Tamil Nadu,423,146,2709,339,3200,492,3325,576,2609,511,1441,387
Telangana,241,43,1106,138,1592,219,1393,240,1016,152,381,75
Tripura,10,3,30,4,40,5,31,3,24,2,8,1
Uttarakhand,50,15,194,35,223,35,175,24,112,33,38,8
Uttar Pradesh,1841,476,4466,835,4433,721,3426,585,2115,362,702,162
West Bengal,441,82,1298,194,1044,169,866,192,792,198,428,65
Andaman & Nicobar Islands,0,2,2,0,8,2,4,0,3,0,0,0
Chandigarh,3,2,18,4,23,5,15,1,20,5,10,1
Dadra & Nagar Haveli,1,1,3,2,10,4,10,0,9,0,2,1
Daman & Diu,1,1,13,0,10,1,6,1,2,0,1,0
Delhi,75,18,327,37,484,38,302,31,183,20,55,14
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,18,2,19,3,25,7,28,5,62,6,38,13
Total,7443,1965,30148,4096,34728,4821,28538,4250,19235,3227,7696,1688
